bioproject_id	phs_accession	organism	name	protocols_inferred	disease_categories	sra_run_count	description
1034641		Homo sapiens	Transfer learning associates CAFs with EMT and inflammation in tumor cells in human tumors and organoid co-culture in pancreatic ductal adenocarcinoma [MULTIseq]	scRNA	cancer|autoimmune|normal	0	Pancreatic ductal adenocarcinoma (PDAC) is an aggressive malignancy characterized by an immunosuppressive tumor microenvironment enriched with cancer associated fibroblasts (CAFs). This study provides
995802	phs001587	Homo sapiens	The origin and dynamics of cellular heterogeneity vary across lineage subtypes of castrate resistant prostate cancer [scRNA-seq]	scRNA	cancer	0	Cancer cells often adapt a stem-like state resulting in lineage plasticity and phenotypic heterogeneity. We assessed the dynamics of lineage determination and cellular subpopulation expansion in treat
1288050		Homo sapiens	Numbat-multiome: Inferring copy number variation by combining RNA and chromatin accessibility information from single-cell data	multiome|atac	cancer	0	Numbat-multiome is a computational framework designed to infer copy number variations (CNVs) by integrating RNA and chromatin accessibility data from single-cell multiomic datasets. The methodology ex
668295		Homo sapiens	Identification of a minority population in breast cancer that integrates into the vasculature and initiates metastasis [scRNA-Seq]	smart-seq|scRNA	cancer|autoimmune|pulmonary|normal	0	Metastasis is responsible for the majority of cancer-related deaths1. Although single-cell RNA sequencing (scRNA-seq) has revealed considerable heterogeneity among tumor cells, identifying the cellula
870315		Homo sapiens	Diverse immune suppressing cancer communications with myeloid cells prevent T cell activation and recruitment and provide resistance to cell cycle inhibitor therapy	snRNA|scRNA	cancer|neurological|developmental	0	Cancer cells evolve and acquire the ability to develop resistance to therapy and change their environment. A key mechanism involves altering communication with non-malignant cells in the tumor microen
1037045	phs002361	Homo sapiens	Distinct baseline immune characteristics associated with responses to conjugated and unconjugated pneumococcal polysaccharide vaccines in older adults [bulk RNA-seq]		neurological|infectious|normal	0	Pneumococcal infections cause serious illness and death among older adults. A capsular polysaccharide vaccine PPSV23 (Pneumovax®) and a conjugated polysaccharide vaccine PCV13 (Prevnar®) are used to p
1080534		Homo sapiens	Long-Read Single-Cell RNA Sequencing Enables Cell Genotyping to Refine Subclone Detection in Chronic Lymphocytic Leukemia	scRNA	cancer	0	Bruton's tyrosine kinase (BTK) inhibitors are effective treatments for chronic lymphocytic leukemia (CLL) due to BTK’s role in B-cell survival and proliferation. Though effective, resistance occurs mo
663623	phs002316	Homo sapiens	Simultaneous trimodal single cell measurement of transcripts, epitopes, and chromatin accessibility using TEA-seq	10x_chromium|cite-seq|multiome|atac|scRNA	neurological|developmental	0	Single-cell measurements of cellular characteristics have been instrumental in understanding the heterogeneous pathways that drive differentiation, cellular responses to signals, and human disease. Re
793427		Homo sapiens	Deciphering Tumor Cell Evolution in Cutaneous T-Cell Lymphomas: Distinct Differentiation Trajectories in Mycosis Fungoides and Sézary Syndrome		cancer|neurological	0	Cutaneous T-cell lymphomas are a heterogeneous group of neoplasms originating in the skin, with mycosis fungoides (MF) and Sézary syndrome (SS) representing the most common variants. The cellular orig
622296		Homo sapiens	Single cell analysis reveals mechanisms of heterogeneity and plasticity of leukemia initiating cells [inDrop]		cancer|neurological	0	Leukemia initiating cells (LICs) self-renew indefinitely to fuel leukemic growth and spark disease relapse. Previously thought to be primitive and rare, the LIC state may actually be heterogeneous and
